Unnamed: 0;Provincia;Edad;Ambos_sexos;Hombres;Mujeres
644;Asturias;4;0;0;3292
645;Avila;4;1168;0;0
646;Avila;4;0;621;0
647;Avila;4;0;0;547
648;Badajoz;4;5963;0;0
649;Badajoz;4;0;3019;0
650;Badajoz;4;0;0;2944
651;Balears_Illes;4;10934;0;0
652;Balears_Illes;4;0;5586;0
653;Balears_Illes;4;0;0;5348
654;Barcelona;4;52532;0;0
655;Barcelona;4;0;26986;0
656;Barcelona;4;0;0;25545
657;Bizkaia;4;9812;0;0
658;Bizkaia;4;0;5041;0
659;Bizkaia;4;0;0;4771
660;Burgos;4;3043;0;0
661;Burgos;4;0;1585;0
662;Burgos;4;0;0;1458
663;Caceres;4;2945;0;0
664;Caceres;4;0;1497;0
665;Caceres;4;0;0;1449
666;Cadiz;4;12029;0;0
667;Cadiz;4;0;6210;0
668;Cadiz;4;0;0;5819
669;Cantabria;4;4865;0;0
670;Cantabria;4;0;2512;0
671;Cantabria;4;0;0;2353
672;Castellon;4;5562;0;0
673;Castellon;4;0;2861;0
674;Castellon;4;0;0;2701
675;Ciudad_Real;4;4536;0;0
676;Ciudad_Real;4;0;2307;0
677;Ciudad_Real;4;0;0;2229
678;Cordoba;4;7233;0;0
679;Cordoba;4;0;3736;0
680;Cordoba;4;0;0;3496
681;Coru?a;4;8571;0;0
682;Coru?a;4;0;4357;0
683;Coru?a;4;0;0;4214
684;Cuenca;4;1565;0;0
685;Cuenca;4;0;808;0
686;Cuenca;4;0;0;757
687;Gipuzkoa;4;6414;0;0
688;Gipuzkoa;4;0;3272;0
689;Gipuzkoa;4;0;0;3142
690;Girona;4;7693;0;0
691;Girona;4;0;3975;0
692;Girona;4;0;0;3718
693;Granada;4;8371;0;0
694;Granada;4;0;4357;0
695;Granada;4;0;0;4014
696;Guadalajara;4;2636;0;0
697;Guadalajara;4;0;1335;0
698;Guadalajara;4;0;0;1301
699;Huelva;4;5268;0;0
700;Huelva;4;0;2700;0
701;Huelva;4;0;0;2568
702;Huesca;4;1975;0;0
703;Huesca;4;0;1004;0
704;Huesca;4;0;0;971
705;Jaen;4;5420;0;0
706;Jaen;4;0;2743;0
707;Jaen;4;0;0;2678
708;Leon;4;3057;0;0
709;Leon;4;0;1586;0
710;Leon;4;0;0;1471
711;Lleida;4;4136;0;0
712;Lleida;4;0;2115;0
713;Lleida;4;0;0;2021
714;Lugo;4;2088;0;0
715;Lugo;4;0;1031;0
716;Lugo;4;0;0;1058
717;Madrid;4;65574;0;0
718;Madrid;4;0;33728;0
719;Madrid;4;0;0;31845
720;Malaga;4;16110;0;0
721;Malaga;4;0;8309;0
722;Malaga;4;0;0;7801
723;Murcia;4;16295;0;0
724;Murcia;4;0;8389;0
725;Murcia;4;0;0;7906
726;Navarra;4;6260;0;0
727;Navarra;4;0;3206;0
728;Navarra;4;0;0;3053
729;Ourense;4;1884;0;0
730;Ourense;4;0;970;0
731;Ourense;4;0;0;914
732;Palencia;4;1154;0;0
733;Palencia;4;0;598;0
734;Palencia;4;0;0;556
735;Palmas;4;8849;0;0
736;Palmas;4;0;4455;0
737;Palmas;4;0;0;4394
738;Pontevedra;4;7409;0;0
739;Pontevedra;4;0;3840;0
740;Pontevedra;4;0;0;3569
741;Rioja;4;2902;0;0
742;Rioja;4;0;1469;0
743;Rioja;4;0;0;1433
744;Salamanca;4;2259;0;0
745;Salamanca;4;0;1135;0
746;Salamanca;4;0;0;1124
747;Santa_Cruz_de_Tenerife;4;7732;0;0
748;Santa_Cruz_de_Tenerife;4;0;3978;0
749;Santa_Cruz_de_Tenerife;4;0;0;3754
750;Segovia;4;1197;0;0
751;Segovia;4;0;610;0
752;Segovia;4;0;0;588
753;Sevilla;4;20077;0;0
754;Sevilla;4;0;10302;0
755;Sevilla;4;0;0;9775
756;Soria;4;690;0;0
757;Soria;4;0;353;0
758;Soria;4;0;0;337
759;Tarragona;4;7710;0;0
760;Tarragona;4;0;4023;0
761;Tarragona;4;0;0;3687
762;Teruel;4;1124;0;0
763;Teruel;4;0;605;0
764;Teruel;4;0;0;520
765;Toledo;4;6976;0;0
766;Toledo;4;0;3520;0
767;Toledo;4;0;0;3456
768;Valencia;4;23196;0;0
769;Valencia;4;0;11992;0
770;Valencia;4;0;0;11205
771;Valladolid;4;4374;0;0
772;Valladolid;4;0;2310;0
773;Valladolid;4;0;0;2064
774;Zamora;4;1044;0;0
775;Zamora;4;0;568;0
776;Zamora;4;0;0;476
777;Zaragoza;4;8745;0;0
778;Zaragoza;4;0;4503;0
779;Zaragoza;4;0;0;4242
780;Ceuta;4;1044;0;0
781;Ceuta;4;0;546;0
782;Ceuta;4;0;0;497
783;Melilla;4;1442;0;0
784;Melilla;4;0;755;0
785;Melilla;4;0;0;687
786;Nacional;5;455354;0;0
787;Nacional;5;0;234728;0
788;Nacional;5;0;0;220627
789;Albacete;5;3649;0;0
790;Albacete;5;0;1844;0
791;Albacete;5;0;0;1805
792;Alicante;5;17440;0;0
793;Alicante;5;0;8924;0
794;Alicante;5;0;0;8516
795;Almeria;5;8034;0;0
796;Almeria;5;0;4154;0
797;Almeria;5;0;0;3880
798;Alava;5;3404;0;0
799;Alava;5;0;1805;0
800;Alava;5;0;0;1599
801;Asturias;5;7706;0;0
802;Asturias;5;0;4012;0
803;Asturias;5;0;0;3694
804;Avila;5;1255;0;0
805;Avila;5;0;640;0
806;Avila;5;0;0;614
807;Badajoz;5;6421;0;0
808;Badajoz;5;0;3300;0
809;Badajoz;5;0;0;3121
810;Balears_Illes;5;11504;0;0
811;Balears_Illes;5;0;5840;0
812;Balears_Illes;5;0;0;5664
813;Barcelona;5;56280;0;0
814;Barcelona;5;0;29091;0
815;Barcelona;5;0;0;27189
816;Bizkaia;5;10359;0;0
817;Bizkaia;5;0;5339;0
818;Bizkaia;5;0;0;5020
819;Burgos;5;3111;0;0
820;Burgos;5;0;1609;0
821;Burgos;5;0;0;1502
822;Caceres;5;2922;0;0
823;Caceres;5;0;1505;0
824;Caceres;5;0;0;1417
825;Cadiz;5;13030;0;0
826;Cadiz;5;0;6677;0
827;Cadiz;5;0;0;6353
828;Cantabria;5;5109;0;0
829;Cantabria;5;0;2664;0
830;Cantabria;5;0;0;2445
